run,k,algoritmo,maletas,score,tiempo_ms,total_travel_min,espera_min,transbordos,tardanza_min,sin_ruta
14,20000,NSGA-II,20000,9195994.40,59337,8647184.00,648698.00,7463,0.00,0
15,20000,ALNS,20000,7508540.00,32751,7299008.00,240745.00,4234,0.00,0
15,20000,NSGA-II,20000,9215967.20,63820,8656264.00,661644.00,7597,0.00,0
16,20000,ALNS,20000,7508540.00,33144,7299008.00,240745.00,4234,0.00,0
16,20000,NSGA-II,20000,9198764.20,62450,8649453.00,649219.00,7484,0.00,0
17,20000,ALNS,20000,7508540.00,33169,7299008.00,240745.00,4234,0.00,0
17,20000,NSGA-II,20000,9210790.80,60197,8661798.00,648886.00,7471,0.00,0
18,20000,ALNS,20000,7508540.00,32894,7299008.00,240745.00,4234,0.00,0
18,20000,NSGA-II,20000,9207337.40,59621,8654727.00,653353.00,7482,0.00,0
19,20000,ALNS,20000,7508540.00,33355,7299008.00,240745.00,4234,0.00,0
19,20000,NSGA-II,20000,9199027.80,82195,8648327.00,651016.00,7472,0.00,0
20,20000,ALNS,20000,7508540.00,34049,7299008.00,240745.00,4234,0.00,0
20,20000,NSGA-II,20000,9214978.80,53134,8659898.00,656116.00,7547,0.00,0
21,20000,ALNS,20000,7508540.00,31987,7299008.00,240745.00,4234,0.00,0
21,20000,NSGA-II,20000,9201187.20,63873,8654244.00,646189.00,7498,0.00,0
22,20000,ALNS,20000,7508540.00,33293,7299008.00,240745.00,4234,0.00,0
22,20000,NSGA-II,20000,9219375.80,63607,8667267.00,652811.00,7465,0.00,0
23,20000,ALNS,20000,7508540.00,33316,7299008.00,240745.00,4234,0.00,0
23,20000,NSGA-II,20000,9192473.40,60963,8637751.00,656028.00,7475,0.00,0
24,20000,ALNS,20000,7508540.00,32708,7299008.00,240745.00,4234,0.00,0
24,20000,NSGA-II,20000,9199002.80,61412,8650666.00,647841.00,7516,0.00,0
25,20000,ALNS,20000,7508540.00,33082,7299008.00,240745.00,4234,0.00,0
25,20000,NSGA-II,20000,9217664.40,62373,8661902.00,656988.00,7543,0.00,0
26,20000,ALNS,20000,7508540.00,33193,7299008.00,240745.00,4234,0.00,0
26,20000,NSGA-II,20000,9222485.60,62391,8670584.00,652387.00,7498,0.00,0
27,20000,ALNS,20000,7508540.00,32875,7299008.00,240745.00,4234,0.00,0
27,20000,NSGA-II,20000,9225687.60,60145,8674718.00,651077.00,7527,0.00,0
28,20000,ALNS,20000,7508540.00,33082,7299008.00,240745.00,4234,0.00,0
28,20000,NSGA-II,20000,9197445.00,59165,8654749.00,641205.00,7433,0.00,0
29,20000,ALNS,20000,7508540.00,33123,7299008.00,240745.00,4234,0.00,0
29,20000,NSGA-II,20000,9226281.60,60767,8672516.00,654777.00,7486,0.00,0
30,20000,ALNS,20000,7508540.00,33361,7299008.00,240745.00,4234,0.00,0
30,20000,NSGA-II,20000,9206722.60,67819,8650965.00,656977.00,7544,0.00,0
1,25000,ALNS,25001,9650702.20,34749,9386171.00,303824.00,5368,0.00,0
1,25000,NSGA-II,25001,11799295.60,86026,11100562.00,825877.00,9508,0.00,0
2,25000,ALNS,25001,9650702.20,33961,9386171.00,303824.00,5368,0.00,0
2,25000,NSGA-II,25001,11816793.80,86492,11118697.00,825241.00,9476,0.00,0
3,25000,ALNS,25001,9650702.20,33772,9386171.00,303824.00,5368,0.00,0
3,25000,NSGA-II,25001,11821181.40,89236,11122535.00,825548.00,9552,0.00,0
4,25000,ALNS,25001,9650702.20,34129,9386171.00,303824.00,5368,0.00,0
4,25000,NSGA-II,25001,11798916.00,88495,11095600.00,831525.00,9524,0.00,0
5,25000,ALNS,25001,9650702.20,33901,9386171.00,303824.00,5368,0.00,0
5,25000,NSGA-II,25001,11815091.00,91168,11111651.00,831660.00,9528,0.00,0
6,25000,ALNS,25001,9650702.20,34131,9386171.00,303824.00,5368,0.00,0
6,25000,NSGA-II,25001,11783429.40,91417,11088171.00,821983.00,9418,0.00,0
7,25000,ALNS,25001,9650702.20,34485,9386171.00,303824.00,5368,0.00,0
7,25000,NSGA-II,25001,11822199.00,85785,11123287.00,826210.00,9486,0.00,0
8,25000,ALNS,25001,9650702.20,33611,9386171.00,303824.00,5368,0.00,0
8,25000,NSGA-II,25001,11830640.20,88046,11127373.00,831464.00,9524,0.00,0
9,25000,ALNS,25001,9650702.20,34003,9386171.00,303824.00,5368,0.00,0
9,25000,NSGA-II,25001,11838535.80,86256,11142499.00,822456.00,9518,0.00,0
10,25000,ALNS,25001,9650702.20,33427,9386171.00,303824.00,5368,0.00,0
10,25000,NSGA-II,25001,11798908.40,88343,11104906.00,820238.00,9453,0.00,0
11,25000,ALNS,25001,9650702.20,33973,9386171.00,303824.00,5368,0.00,0
11,25000,NSGA-II,25001,11828691.40,91912,11132277.00,823318.00,9440,0.00,0
12,25000,ALNS,25001,9650702.20,33872,9386171.00,303824.00,5368,0.00,0
12,25000,NSGA-II,25001,11823125.80,87992,11118845.00,832641.00,9542,0.00,0
13,25000,ALNS,25001,9650702.20,33812,9386171.00,303824.00,5368,0.00,0
13,25000,NSGA-II,25001,11807291.40,90446,11101993.00,833798.00,9565,0.00,0
14,25000,ALNS,25001,9650702.20,34870,9386171.00,303824.00,5368,0.00,0
14,25000,NSGA-II,25001,11803614.60,89398,11106905.00,823397.00,9498,0.00,0
15,25000,ALNS,25001,9650702.20,33214,9386171.00,303824.00,5368,0.00,0
15,25000,NSGA-II,25001,11799639.60,86543,11093910.00,834357.00,9561,0.00,0
16,25000,ALNS,25001,9650702.20,33881,9386171.00,303824.00,5368,0.00,0
16,25000,NSGA-II,25001,11806204.20,85210,11097917.00,837469.00,9578,0.00,0
17,25000,ALNS,25001,9650702.20,33820,9386171.00,303824.00,5368,0.00,0
17,25000,NSGA-II,25001,11792655.60,90069,11091422.00,828927.00,9523,0.00,0
18,25000,ALNS,25001,9650702.20,34069,9386171.00,303824.00,5368,0.00,0
18,25000,NSGA-II,25001,11812625.80,94391,11111613.00,828911.00,9471,0.00,0
19,25000,ALNS,25001,9650702.20,34357,9386171.00,303824.00,5368,0.00,0
